"idx","feature_id","from","to","lon","lat","alt","order","Qi","MusK","MusX","Length","n","So","ChSlp","BtmWdth","NHDWaterbodyComID","time","site_no","Kchan","ascendingIndex","nCC","TopWdthCC","TopWdth"
2146623,8507516,0,8507526,-77.51432800292969,37.87025833129883,42.25,4,0.0,3600.0,0.20000000298023224,3282.0,0.054999999701976776,0.004000000189989805,0.3384697735309601,9.921919822692871,-9999,"2000-01-01 00:00:00","01671100",0,308951,0.10999999940395355,49.609596252441406,16.536531448364258
2146661,9528411,0,9528405,-73.63704681396484,44.45320129394531,160.1300048828125,4,0.0,3600.0,0.20000000298023224,6125.0,0.054999999701976776,0.003000000026077032,0.27318835258483887,16.125991821289062,-9999,"2000-01-01 00:00:00","04275500",0,306464,0.10999999940395355,80.62995910644531,26.87665367126465
2146670,14363456,0,14362982,-78.77711486816406,39.659664154052734,200.61000061035156,4,0.0,3600.0,0.20000000298023224,3645.0,0.054999999701976776,0.004999999888241291,0.29767295718193054,13.274908065795898,-9999,"2000-01-01 00:00:00","01601500",0,311701,0.10999999940395355,66.3745346069336,22.124845504760742
2146697,4186403,0,4186405,-75.73406982421875,41.10239791870117,374.010009765625,5,0.0,3600.0,0.20000000298023224,1920.0,0.05000000074505806,0.004999999888241291,0.2916308641433716,13.906512260437012,-9999,"2000-01-01 00:00:00","01447800",0,315939,0.10000000149011612,69.53256225585938,23.177520751953125
2146727,5892862,0,5892878,-78.04167175292969,39.67560958862305,123.2300033569336,5,0.0,3600.0,0.20000000298023224,1403.0,0.05000000074505806,9.999999747378752e-06,0.30982398986816406,12.12402057647705,-9999,"2000-01-01 00:00:00","01613525",0,302726,0.10000000149011612,60.62010192871094,20.206701278686523
2146769,8465429,0,8465329,-77.81509399414062,38.53043746948242,79.02999877929688,5,0.0,3600.0,0.20000000298023224,1034.0,0.05000000074505806,9.999999747378752e-06,0.26022693514823914,18.004276275634766,-9999,"2000-01-01 00:00:00","01664000",0,312129,0.10000000149011612,90.02137756347656,30.007125854492188
2146791,8611887,0,8610765,-78.38836669921875,37.3071403503418,88.05000305175781,5,0.0,3600.0,0.20000000298023224,245.0,0.05000000074505806,9.999999747378752e-06,0.28982076048851013,14.10416030883789,-9999,"2000-01-01 00:00:00","02039500",0,310742,0.10000000149011612,70.52080535888672,23.506935119628906
2146874,4779167,0,4779923,-75.98878479003906,40.52723693847656,98.94999694824219,5,0.0,3600.0,0.20000000298023224,2834.0,0.05000000074505806,0.0010000000474974513,0.28250497579574585,14.94565486907959,-9999,"2000-01-01 00:00:00","01470500",0,271078,0.10000000149011612,74.72827911376953,24.909425735473633
2146927,8525659,0,8525401,-80.10730743408203,37.50663375854492,385.95001220703125,4,0.0,3600.0,0.20000000298023224,1242.0,0.054999999701976776,0.006000000052154064,0.3396403193473816,9.844578742980957,-9999,"2000-01-01 00:00:00","02017500",0,244080,0.10999999940395355,49.22289276123047,16.407630920410156
2146971,14364372,0,14364342,-78.81936645507812,39.45097351074219,191.75,5,0.0,3600.0,0.20000000298023224,2786.0,0.05000000074505806,0.0020000000949949026,0.30353599786758423,12.700796127319336,-9999,"2000-01-01 00:00:00","01604500",0,288471,0.10000000149011612,63.50398254394531,21.167993545532227
2146980,22741265,0,22741283,-74.95881652832031,43.367610931396484,384.30999755859375,4,0.0,3600.0,0.20000000298023224,473.0,0.054999999701976776,9.999999747378752e-06,0.30087125301361084,12.957201957702637,-9999,"2000-01-01 00:00:00","01343060",0,304154,0.10999999940395355,64.7860107421875,21.5953369140625
2147004,4674941,0,4674931,-78.50703430175781,40.96310806274414,344.010009765625,4,0.0,3600.0,0.20000000298023224,3434.0,0.054999999701976776,9.999999747378752e-06,0.2813841700553894,15.080933570861816,-9999,"2000-01-01 00:00:00","01541200",0,310744,0.10999999940395355,75.40467071533203,25.134889602661133
