"site_no","gage_lid","feature_id","action_stage","flood_stage","moderate_stage","major_stage","url","action_cfs","flood_cfs","moderate_cfs","major_cfs","action_cms","flood_cms","moderate_cms","major_cms"
6099500,"SHLM8",12643843,8.0,9.0,13.0,15.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=tfx&gage=shlm8",6355.89,8637.24,23065.45,"",177.96492,241.84271999999999,645.8326000000001,""
2231000,"MACF1",18260325,10.0,12.0,15.0,19.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=jax&gage=macf1",1071.88,1670.2,3723.87,10773.6,30.012640000000005,46.7656,104.26836,301.6608
9146200,"UCRC2",9769826,5.0,6.0,8.0,10.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=gjt&gage=ucrc2",1360.97,"","","",38.10716,"","",""
6873460,"WODK1",5953953,11.0,12.0,16.0,27.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=gid&gage=wodk1",990.95,1291.67,2922.84,"",27.7466,36.166760000000004,81.83952000000001,""
4105500,"BTCM4",3473353,7.0,9.0,10.0,11.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=grr&gage=btcm4",4307.82,"","","",120.61896,"","",""
3213700,"WILW2",435154,25.0,27.0,32.0,42.7," https://water.weather.gov/ahps2/hydrograph.php?wfo=rlx&gage=wilw2",18743.54,21176.89,27691.76,44941.55,524.81912,592.95292,775.36928,1258.3634000000002
2487500,"DLAM6",15759818,24.0,25.0,30.0,33.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=jan&gage=dlam6",8431.42,9204.12,15354.72,25704.29,236.07976,257.71536000000003,429.93216,719.7201200000001
6218500,"DUBW4",12898110,4.5,5.0,5.5,6.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=riw&gage=dubw4",1050.0,1480.0,1906.53,2380.0,29.400000000000002,41.44,53.38284,66.64
9482500,"TSCA3",15903601,11.0,12.0,13.0,15.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=twc&gage=tsca3",12170.51,14579.17,17188.49,23000.0,340.77428000000003,408.21676,481.27772000000004,644.0
3164000,"GAXV2",6887572,7.0,9.0,11.0,14.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=rnk&gage=gaxv2",22376.69,33100.0,43487.21,60558.46,626.54732,926.8000000000001,1217.64188,1695.63688
6910450,"JFFM7",5166993,21.0,23.0,25.0,30.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=lsx&gage=jffm7",191166.29,223306.04,257623.41,361676.87,5352.656120000001,6252.56912,7213.4554800000005,10126.95236
8178800,"SACT2",10840488,15.0,18.0,20.0,22.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=ewx&gage=sact2",2534.69,3804.54,4810.86,6366.79,70.97132,106.52712,134.70408,178.27012
3540500,"OAKT1",19712873,12.0,27.0,28.0,30.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=mrx&gage=oakt1",8811.78,59709.83,65999.98,80349.03,246.72984000000002,1671.87524,1847.9994399999998,2249.77284
7143330,"HAVK1",22077735,8.0,10.0,11.0,12.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=ict&gage=havk1",3930.57,6827.79,10342.34,15148.41,110.05596000000001,191.17812,289.58552000000003,424.15548
1611500,"GCPW2",8431736,7.0,9.0,16.0,20.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=lwx&gage=gcpw2",4327.36,7111.26,23193.45,36935.61,121.16608,199.11528,649.4166,1034.1970800000001
1034500,"WENM1",1733994,16.0,18.0,22.0,25.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=car&gage=wenm1",76691.84,94041.1,133669.07,167634.85,2147.37152,2633.1508000000003,3742.7339600000005,4693.7758
8084800,"STFT2",5509690,20.0,28.0,32.0,37.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=sjt&gage=stft2",1818.14,6407.6,"","",50.907920000000004,179.4128,"",""
3339000,"DNVI2",10080962,16.0,18.0,22.0,28.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=ilx&gage=dnvi2",13270.68,16277.16,24028.86,40988.93,371.57904,455.76048000000003,672.80808,1147.69004
8176900,"SCDT2",1638559,14.0,15.0,16.0,17.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=crp&gage=scdt2",3390.69,4367.84,5417.09,6604.46,94.93932000000001,122.29952,151.67852000000002,184.92488
